name,wert
LOGNORM0,114.27963268615653
LOGNORM1,306.7789547931473
LOGNORM2,37.15265426789699
LOGNORM3,5.787279739238223
LOGNORM4,24.949020481508427
LOGNORM5,9.749007486219988
LOGNORM6,25.78820456976337
LOGNORM7,13.731216411491847
LOGNORM8,45.23619116033417
LOGNORM9,59.74086303835735
LOGNORM10,15.923654678608807
LOGNORM11,29.56207186311436
LOGNORM12,11.17283397994395
LOGNORM13,53.39468201268736
LOGNORM14,33.200531056822115
LOGNORM15,3.8542399137301855
LOGNORM16,24.106939911378195
LOGNORM17,42.61036553809756
LOGNORM18,9.852133392329616
LOGNORM19,7.8767913713831215
LOGNORM20,38.87994940142173
LOGNORM21,38.79280484848416
