name,wert
NORMAL0,0.22463186492856413
NORMAL1,0.0798080653914488
NORMAL2,0.9363984245764272
NORMAL3,0.037496004044576425
NORMAL4,0.4756870363107676
NORMAL5,0.2669863289243154
NORMAL6,0.15645759143438964
NORMAL7,0.06394490848509515
NORMAL8,0.10909267511815224
NORMAL9,0.1480636605926634
NORMAL10,0.5377360698854249
NORMAL11,0.6720270098916273
NORMAL12,0.8390945095963169
NORMAL13,0.302596088250366
NORMAL14,0.3886173623089251
NORMAL15,0.8722960217094939
NORMAL16,0.1121096473915093
NORMAL17,0.30600081203749996
NORMAL18,0.32776432185400783
NORMAL19,0.7952566134382963
