name,wert
BETA0,0.3640899336244417
BETA1,0.6967114849534892
BETA2,0.45738380158448844
BETA3,0.04653688660270463
BETA4,0.33620519930614545
BETA5,0.2953350096032801
BETA6,0.24565900011197445
BETA7,0.5526927038015561
BETA8,0.6839503194567744
BETA9,0.3313497243639756
BETA10,0.04989003372843154
BETA11,0.4126329577727921
BETA12,0.35291525602046125
BETA13,0.31375972752282205
BETA14,0.32242096045269153
BETA15,0.20502578003794084
BETA16,0.36206753519410373
BETA17,0.15934854657022673
BETA18,0.23218426579518148
BETA19,0.6311988799290724
BETA20,0.07968239512231598
BETA21,0.3453239182835077
