wert,name
0.28115499428226975,BETA0
0.4049691974487116,BETA1
0.2878782762503007,BETA2
0.3185102386572537,BETA3
0.280917098721302,BETA4
0.4228235356379578,BETA5
0.1689462279153922,BETA6
0.5550196543185361,BETA7
0.3499684851324639,BETA8
0.27057349450471024,BETA9
0.3598184735981681,BETA10
0.7846024434976688,BETA11
0.1369723325197123,BETA12
0.6021406639087473,BETA13
0.8014772980820746,BETA14
0.40186496989845477,BETA15
0.3392865650322462,BETA16
0.09095743903166195,BETA17
0.5450963338628262,BETA18
0.3583146394710823,BETA19
0.328523697880758,BETA20
0.21429735737412492,BETA21
0.1631929696403125,BETA22
0.2559640800218967,BETA23
0.11106240948671804,BETA24
0.16112073161757554,BETA25
0.16078964629026204,BETA26
0.7259142455301765,BETA27
0.7055341095430835,BETA28
0.16841876659747607,BETA29
0.42226425841171505,BETA30
0.1631601693652792,BETA31
0.30173643634009556,BETA32
0.09475650586329089,BETA33
0.17860384655542294,BETA34
0.6170224709075313,BETA35
0.5229130416158806,BETA36
0.39111985552623146,BETA37
0.28299777338905874,BETA38
0.345110399058581,BETA39
0.11886340871657604,BETA40
0.03874509129885008,BETA41
0.5372526754738172,BETA42
0.2396441423992556,BETA43
0.3562847379450502,BETA44
0.32064246468125707,BETA45
0.30252430269263353,BETA46
0.2763975371416089,BETA47
0.13388284821482718,BETA48
0.4945049197944565,BETA49
0.4146840979312239,BETA50
0.27338515644796224,BETA51
0.5311188819592692,BETA52
0.3379520924003164,BETA53
0.6325373893723507,BETA54
0.4752210484137906,BETA55
0.3410823728571237,BETA56
0.2885799777257893,BETA57
0.056312853283060176,BETA58
0.38399430811963486,BETA59
0.13378312937495487,BETA60
0.7180413439731094,BETA61
0.34600705992409975,BETA62
0.19846820618528332,BETA63
0.43954935972484854,BETA64
0.20483418892871214,BETA65
0.10331044289054281,BETA66
0.20253836487266627,BETA67
0.23246856955016915,BETA68
0.47352607174891354,BETA69
0.07217660550287465,BETA70
0.17331487639526286,BETA71
0.12764316562245046,BETA72
0.1538313515018963,BETA73
0.1594601640493855,BETA74
0.16457057504199246,BETA75
0.15617448478973256,BETA76
0.40907171725425867,BETA77
0.3441992456654081,BETA78
0.1273675712419398,BETA79
0.03076867172565285,BETA80
0.7024507506391517,BETA81
0.35378874503078056,BETA82
0.39933682653493574,BETA83
0.055877693748889685,BETA84
0.4232731465309494,BETA85
0.20532229425086132,BETA86
0.36374909829592694,BETA87
0.38251614559484776,BETA88
0.4647900380485786,BETA89
0.41991619436713595,BETA90
0.3917929467813232,BETA91
0.05942183370429314,BETA92
0.11815999641510432,BETA93
0.5636448412352011,BETA94
0.5075354837194765,BETA95
0.5912794788910256,BETA96
0.0696679132406372,BETA97
0.26053322297744697,BETA98
0.6290057210122634,BETA99
0.8603236614915064,BETA100
0.26740479497588204,BETA101
0.19760026071584452,BETA102
0.33890321406181967,BETA103
0.2479292108196156,BETA104
0.27260564369015655,BETA105
0.0655401970255816,BETA106
0.37189162583909796,BETA107
0.3387845087234402,BETA108
0.16979946774236535,BETA109
0.11913787157708473,BETA110
0.34890700727588325,BETA111
0.18656172128509102,BETA112
0.4187684231942999,BETA113
0.6019660718700799,BETA114
0.5652275029299406,BETA115
0.7054941712842533,BETA116
0.7055884772260307,BETA117
0.2698503481795968,BETA118
0.519903798026662,BETA119
0.46447345451164185,BETA120
0.36984394640796125,BETA121
0.9005065602398402,BETA122
0.6841726582679623,BETA123
0.35521008626937006,BETA124
0.18089298223776948,BETA125
0.16640304810019083,BETA126
0.39849174853989455,BETA127
0.35798806948462114,BETA128
0.26974087362819865,BETA129
0.48510217146628787,BETA130
0.6013425018437218,BETA131
0.2664046452041624,BETA132
0.43484355686009907,BETA133
0.30394826821203436,BETA134
0.5050800306474629,BETA135
0.24835915680854254,BETA136
0.48327242701171036,BETA137
0.5915537257510153,BETA138
0.4979390070121914,BETA139
0.15032029246001408,BETA140
0.34121119136141287,BETA141
0.3265772986174079,BETA142
0.4175592551977816,BETA143
0.2798292837815149,BETA144
0.3539951305624024,BETA145
0.43894651875484675,BETA146
0.28302493251286676,BETA147
0.1429657561825062,BETA148
0.34699445642842325,BETA149
0.08246610234509952,BETA150
0.5308309794652831,BETA151
0.417562203695865,BETA152
0.2985071834548808,BETA153
0.2194826336633692,BETA154
0.30255594140405634,BETA155
0.47186166419024156,BETA156
0.493992453167089,BETA157
0.13238732944071122,BETA158
0.17793659388125443,BETA159
0.4350356473952054,BETA160
0.4028774372443025,BETA161
0.3527105404710568,BETA162
0.420893529403305,BETA163
0.34783586380281584,BETA164
0.29721419134916643,BETA165
0.10340073016096138,BETA166
0.09928757564119757,BETA167
0.317712790245929,BETA168
0.23527632088766626,BETA169
0.26684756678677946,BETA170
0.07815803467390832,BETA171
0.23308993509281697,BETA172
0.4723487836754938,BETA173
0.14106057956583715,BETA174
0.12685028509733584,BETA175
0.421642845717155,BETA176
0.6662002520191707,BETA177
0.32515232139701283,BETA178
0.3298682528167329,BETA179
0.23184466520006666,BETA180
0.5227037732900919,BETA181
0.41322258282989005,BETA182
0.2884728988253905,BETA183
0.29013413464560633,BETA184
0.5488146365893625,BETA185
0.4163995846068572,BETA186
0.2807461032394702,BETA187
0.14288389263163026,BETA188
0.3613383136287791,BETA189
0.633762183309111,BETA190
0.1839491104639451,BETA191
0.6710744735613718,BETA192
0.14251582247291986,BETA193
0.16241598719617512,BETA194
0.7325608565336728,BETA195
0.6177944607403537,BETA196
0.27691437397861524,BETA197
0.10279735221506872,BETA198
0.6127737435315185,BETA199
0.30280192349458057,BETA200
0.3061139726141012,BETA201
0.32148407083616715,BETA202
0.13886964178435363,BETA203
0.4765067614214684,BETA204
0.4760838036032006,BETA205
0.38944581071096035,BETA206
0.1701264060333098,BETA207
0.4837142852706325,BETA208
0.45902081218915636,BETA209
0.08012269237939078,BETA210
0.49131139679159436,BETA211
0.2755837463859157,BETA212
0.45168538768250927,BETA213
0.43442535142109523,BETA214
0.4590429002389455,BETA215
0.6835665807139982,BETA216
0.2855915978206238,BETA217
0.19110875547718328,BETA218
0.3589373826367633,BETA219
0.2650205349685351,BETA220
0.06500902641673868,BETA221
0.23684101054770904,BETA222
0.44546950225621346,BETA223
0.16079326841028238,BETA224
0.3445929745690756,BETA225
0.10911249186293795,BETA226
0.6769842206488796,BETA227
0.4819058276932774,BETA228
0.22876642768879044,BETA229
0.47297481213492765,BETA230
0.2915360515189913,BETA231
0.48297597574755236,BETA232
0.4014507764919338,BETA233
0.3727612399200004,BETA234
0.2627402755841873,BETA235
0.7177603219679803,BETA236
0.04121390888459873,BETA237
0.38828753258853155,BETA238
0.2211672035829384,BETA239
0.4975305119269179,BETA240
0.4246796236525405,BETA241
0.46592152776993895,BETA242
0.5694067097687034,BETA243
0.5311560067206604,BETA244
0.4614944899837292,BETA245
0.6761928520397315,BETA246
0.1708960781494697,BETA247
0.051538264631203964,BETA248
0.5310792092456824,BETA249
0.5789173308903508,BETA250
0.07332027552814571,BETA251
0.39989927192732944,BETA252
0.2949181563402839,BETA253
0.3771958019754866,BETA254
0.09707038688192954,BETA255
0.6471287884084338,BETA256
0.1608365632896192,BETA257
0.26403841482582974,BETA258
0.5871915085073133,BETA259
0.2351484283714956,BETA260
0.30398324885877964,BETA261
0.06836364751001764,BETA262
0.3323477259822386,BETA263
0.13265284379285686,BETA264
0.40601021989201047,BETA265
0.13130130100201576,BETA266
0.4651017219019666,BETA267
0.3556334480090453,BETA268
0.4928228904246032,BETA269
0.4596460863818154,BETA270
0.29538660967033253,BETA271
0.15326276612461195,BETA272
0.28442599947415315,BETA273
0.5298730919598563,BETA274
0.380732631584634,BETA275
0.02978777142989548,BETA276
0.680558130798689,BETA277
0.30637689188580103,BETA278
0.24260840922769158,BETA279
0.365537688502069,BETA280
0.37371281090516445,BETA281
0.2102165505618054,BETA282
0.1739289204185462,BETA283
0.40916507755367515,BETA284
0.49076161991776374,BETA285
0.2975883720847052,BETA286
0.12580017356942327,BETA287
0.3537133595120931,BETA288
0.10783464304784754,BETA289
0.5302641586468141,BETA290
0.44430402027138394,BETA291
0.5143681380772941,BETA292
0.4825329600592133,BETA293
0.35497184943535226,BETA294
0.37061013013308275,BETA295
0.27711135338481924,BETA296
0.2004142559750568,BETA297
0.0847123735720301,BETA298
0.10091996743601428,BETA299
0.54001828925646,BETA300
0.48401199524612953,BETA301
0.39843530698342033,BETA302
0.8173808516987354,BETA303
0.32828217978516333,BETA304
0.09841886721481996,BETA305
0.38611261605542146,BETA306
0.2464357164618576,BETA307
0.3231460133369363,BETA308
0.7615870121349526,BETA309
0.5012356077457953,BETA310
0.5257279048145761,BETA311
0.16272801608434567,BETA312
0.28038495859974133,BETA313
0.20220657893533156,BETA314
0.7445594702721552,BETA315
0.1736790679724452,BETA316
0.3504559193554723,BETA317
0.30175610156570265,BETA318
0.49879665065618956,BETA319
0.23421878061504336,BETA320
0.219254971346879,BETA321
0.3672135396563572,BETA322
0.602884958698693,BETA323
0.3038180055683158,BETA324
0.38401984995024696,BETA325
0.45084992254734724,BETA326
0.6259157449219771,BETA327
0.5775112050295658,BETA328
0.6712687496333996,BETA329
0.28699619668919335,BETA330
0.7285497322774586,BETA331
0.13874327087184507,BETA332
0.36312550554814677,BETA333
0.14399646922220663,BETA334
0.15599443803556284,BETA335
0.29565444259791485,BETA336
0.3052130790962487,BETA337
0.3499930177438307,BETA338
0.11034641148621356,BETA339
0.3091648794501677,BETA340
0.06458171843793961,BETA341
0.13840277072857562,BETA342
0.488284536353151,BETA343
0.5502294419883106,BETA344
0.3190812346636809,BETA345
0.2355833136267701,BETA346
0.6881348228390171,BETA347
0.23769121888239722,BETA348
0.25996300188167276,BETA349
0.3178936488178829,BETA350
0.06509104392071507,BETA351
0.1376624650361873,BETA352
0.32131218288031005,BETA353
0.2922777119442733,BETA354
0.2755018083420473,BETA355
0.2952075645525732,BETA356
0.16124109855265847,BETA357
0.29436606704078444,BETA358
0.11606755220863085,BETA359
0.25102603686162656,BETA360
0.2199712571797293,BETA361
0.20185085066499547,BETA362
0.3106402971703157,BETA363
0.5306688104115419,BETA364
0.62819449350072,BETA365
0.20161952029195834,BETA366
0.2693929196527463,BETA367
0.34709747448364,BETA368
0.8117885543308082,BETA369
0.3922878969663843,BETA370
0.31162532840605,BETA371
0.24928342520359156,BETA372
0.515387384557565,BETA373
0.07795068551740751,BETA374
0.0661847374430333,BETA375
0.367312067833836,BETA376
0.43755707791537957,BETA377
0.7445325118012551,BETA378
0.383521764241954,BETA379
0.37099011975742935,BETA380
0.30454848642730276,BETA381
0.12886271158141566,BETA382
0.29868512146087,BETA383
0.326399527718251,BETA384
0.3465876159996606,BETA385
0.3414481528254065,BETA386
0.5545116408602941,BETA387
0.7660849791165945,BETA388
0.20436259967973255,BETA389
0.12292094464440849,BETA390
0.4921237437982214,BETA391
0.17422906078481126,BETA392
0.25587435417977045,BETA393
0.3776180299561804,BETA394
0.39163067086104486,BETA395
0.4249151015404537,BETA396
0.3712042967403393,BETA397
0.31606240162706156,BETA398
